conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1949483874473386032,2025-07-27T14:55:49.000Z,0,"Dukung Program Makan Bergizi Gratis. mantap
#FaktaIndonesia
#MakanBergiziGratis
#DukungMakanBergiziGratis
#DukungProgramMakanBergiziGratis https://t.co/i7RSdrEfeA",1949483874473386032,https://pbs.twimg.com/media/Gw31QIDWUAAJ9NF.jpg,,in,,0,0,0,https://x.com/dinosartos/status/1949483874473386032,2506280550,dinosartos
1949483794001461349,2025-07-27T14:55:30.000Z,0,"Dukung bersama Program Makan Bergizi Gratis. Membuaat masa depan anak-anak menjadi cerah dan membentuk SDM yang unggul dan membanggakan.
#FaktaIndonesia
#MakanBergiziGratis
#DukungMakanBergiziGratis
#DukungProgramMakanBergiziGratis https://t.co/zoC1WCkPMl",1949483794001461349,https://pbs.twimg.com/media/Gw31LgKXUAALNSl.jpg,,in,,0,0,0,https://x.com/dinosartos/status/1949483794001461349,2506280550,dinosartos
1949481887426302215,2025-07-27T14:47:56.000Z,0,"Dukung bersama Program Makan Bergizi Gratis. 
#DukungMakanBergiziGratis
#DukungProgramMakanBergiziGratis https://t.co/WKGoTPzbBu",1949481887426302215,https://pbs.twimg.com/media/Gw3zcSQbUAA8yHM.jpg,,in,,0,0,0,https://x.com/Bahrululum977/status/1949481887426302215,1578376319510794241,Bahrululum977
1949471215904788855,2025-07-27T14:05:31.000Z,1,"Dukung Program Makan Bergizi Gratis. #FaktaIndonesia
#MakanBergiziGratis
#DukungMakanBergiziGratis
#DukungProgramMakanBergiziGratis https://t.co/6PRTTxJMyH",1949471215904788855,https://pbs.twimg.com/media/Gw3pvTNaEAAIeBD.jpg,,in,,0,1,0,https://x.com/Cintyax1x/status/1949471215904788855,1382502619801800708,Cintyax1x
1949101649542160447,2025-07-27T14:00:17.000Z,0,@DanangAMahendra Masih nunggu makan bergizi gratis,1949469897563787481,,DanangAMahendra,in,,0,0,0,https://x.com/Bejodikompo/status/1949469897563787481,1073926567099682817,Bejodikompo
1949469702649946393,2025-07-27T13:59:33.000Z,1,"Program Makan Bergizi Gratis Sehatkan Anak Bangsa
#FaktaIndonesia
#MakanBergiziGratis
#DukungMakanBergiziGratis
#DukungProgramMakanBergiziGratis https://t.co/d5Cr2Yp5FJ",1949469714314666249,https://pbs.twimg.com/media/Gw3oX5fbMAACR0b.jpg,SatriaKalteng,in,,0,0,0,https://x.com/SatriaKalteng/status/1949469714314666249,1356920265670762497,SatriaKalteng
1949469702649946393,2025-07-27T13:59:31.000Z,1,"Dukung Program Makan Bergizi Gratis
#FaktaIndonesia
#MakanBergiziGratis
#DukungMakanBergiziGratis
#DukungProgramMakanBergiziGratis https://t.co/ZEUNB5MqDr",1949469702649946393,https://pbs.twimg.com/media/Gw3oXMpawAAkNHI.jpg,,in,,0,1,0,https://x.com/SatriaKalteng/status/1949469702649946393,1356920265670762497,SatriaKalteng
1949469123425296423,2025-07-27T13:57:13.000Z,0,"hari ini capek bgtt, tapi sangat happy dan bersyukur karena pertama gw bisa ikut liturgi ilahi orthie Russia, ketemu uskup (orthodoks Russia) untuk Jakarta, lanjut makan bergizi gratis (alias makan besar), trus sorenya masih bisa misa di Servatius Kampung Sawah🥺",1949469123425296423,,,in,,0,2,0,https://x.com/lele_gacorr/status/1949469123425296423,1306763453806211073,lele_gacorr
1949462056811258143,2025-07-27T13:29:08.000Z,0,"Dukung Program Makan Bergizi Gratis
#FaktaIndonesia
#MakanBergiziGratis
#DukungMakanBergiziGratis
#DukungProgramMakanBergiziGratis https://t.co/03qAfhy6Mu",1949462056811258143,https://pbs.twimg.com/media/Gw3hZ3ybMAAt59b.jpg,,in,,0,0,0,https://x.com/BukaMat4/status/1949462056811258143,1527143482837860354,BukaMat4
1949462038343716884,2025-07-27T13:29:03.000Z,0,"Dukung Program Makan Bergizi Gratis
#FaktaIndonesia
#MakanBergiziGratis
#DukungMakanBergiziGratis
#DukungProgramMakanBergiziGratis https://t.co/shNwasAGRm",1949462038343716884,https://pbs.twimg.com/media/Gw3hY6abwAIRZsb.jpg,,in,,0,0,0,https://x.com/BukaMat4/status/1949462038343716884,1527143482837860354,BukaMat4
1949449880755372201,2025-07-27T12:40:45.000Z,0,"Manfaat Makan Bergizi Gratis: anak lebih aktif, fokus di sekolah. Ini kunci cetak SDM unggul masa depan. #FaktaIndonesia #MakanBergiziGratis #DukungMakanBergiziGratis #DukungProgramMakanBergiziGratis https://t.co/FIoRF56TnS",1949449880755372201,https://pbs.twimg.com/media/Gw3WCYwa0AAgpxs.jpg,,in,,0,0,0,https://x.com/nia_apri4ni/status/1949449880755372201,968476921846624256,nia_apri4ni
